"subnum","year","placeval","ravens","wiat","woodcock","arith","wholegroupsums","abacus","age","female","condition","verbalwm","spatialwm","ans","english","math","science","computer","music","art","phys.ed","attendance","mental.rot"
1,0,0.181818182,NA,NA,0.302325581,0.208333333,NA,1,6.4,0,"abacus",1.92,3.67,0.54,95,97,99,88,84,86,79,250,0.166666666666667
1,1,0.545454545,0.416666667,0.375,0.395348837,0.354166667,NA,1,6.4,0,"abacus",4.21,3.71,0.13,98,98,99,87,74,86,87,233,0.46875
1,2,0.909090909,0.5,0.4375,0.441860465,0.541666667,0.614285714,1,6.4,0,"abacus",3.88,4.79,0.17,94,95,94,78,70,78,93,237,0.625
1,3,1,0.375,0.5625,0.604651163,0.791666667,0.7,1,6.4,0,"abacus",3.79,3.67,0.13,92,91,92,76,56,84,81,238,0.59375
10,0,0.272727273,NA,NA,0.209302326,0.145833333,NA,0,6.4,0,"control",2.12,1.46,0.59,85,89,94,82,90,88,75,238,0.125
10,1,0.090909091,0.666666667,0.3125,0.325581395,0.125,NA,0,6.4,0,"control",4.21,1.33,0.15,87,78,92,61,78,86,87,228,0.270833333333333
10,2,0.363636364,0.416666667,0.28125,0.395348837,0.25,0.264285714,0,6.4,0,"control",4.67,3.79,0.09,71,67,69,57,73,75,81,228,0.614583333333333
10,3,1,0.625,0.46875,0.465116279,0.354166667,0.492857143,0,6.4,0,"control",4.25,5.12,0.12,79,62,54,66,63,82,84,217,0.583333333333333
100,0,0.181818182,0.25,0.1875,0.325581395,0.1875,NA,0,6.8,0,"control",3.67,3.67,0.1,76,89,81,88,88,88,80,249,0.302083333333333
100,1,0.363636364,0.583333333,0.375,0.441860465,0.208333333,NA,0,6.8,0,"control",4.25,2.96,0.1,93,97,99,70,79,86,84,240,0.791666666666667
100,2,0.636363636,0.375,0.46875,0.465116279,0.4375,0.428571429,0,6.8,0,"control",2.88,4.25,0.06,92,87,95,81,75,84,85,236,0.479166666666667
100,3,1,0.791666667,0.65625,0.581395349,0.520833333,0.485714286,0,6.8,0,"control",4.46,4.38,0.08,91,94,87,80,76,86,83,226,0.833333333333333
101,0,0.181818182,0.083333333,0.0625,0.279069767,0.104166667,NA,0,5.9,1,"control",1.79,2.88,NA,50,66,70,66,89,86,76,238,-0.125
101,1,0,0.416666667,0.125,0.186046512,0.104166667,NA,0,5.9,1,"control",4,3.17,NA,67,62,77,68,80,86,87,225,0.166666666666667
101,2,0.272727273,0.25,0.25,0.279069767,0.270833333,0.121428571,0,5.9,1,"control",3.17,2.58,0.15,60,55,63,69,74,77,85,230,0.239583333333333
101,3,0.6,0.166666667,0.28125,0.418604651,0.25,0.271428571,0,5.9,1,"control",3.12,4.83,0.17,60,56,48,64,58,86,84,228,0.125
102,0,0.454545455,0.666666667,0.125,0.279069767,0.208333333,NA,1,7,0,"abacus",3.71,3.71,0.38,92,96,96,40,88,86,85,240,0.625
102,1,0.181818182,0.75,0.25,0.348837209,0.25,NA,1,7,0,"abacus",4,3.79,0.42,92,86,97,72,80,86,88,227,0.635416666666667
102,2,0.636363636,0.583333333,0.34375,0.395348837,0.395833333,0.478571429,1,7,0,"abacus",2.92,5.58,0.15,88,74,90,72,71,78,85,226,0.708333333333333
102,3,0.6,0.5,0.46875,0.511627907,0.395833333,0.564285714,1,7,0,"abacus",4.67,5.25,0.14,82,77,89,82,68,80,82,228,0.8125
104,0,0.272727273,0.5,0.09375,0.23255814,0.125,NA,1,6.8,0,"abacus",2.79,1.96,0.54,74,81,82,74,88,84,75,251,0.135416666666667
104,1,0,0.583333333,0.15625,0.23255814,0.145833333,NA,1,6.8,0,"abacus",3.17,3.67,0.1,61,71,69,73,79,86,89,236,0.46875
104,2,0.636363636,0.541666667,0.34375,0.372093023,0.270833333,0.335714286,1,6.8,0,"abacus",4.25,4.38,0.27,54,43,59,68,75,69,83,236,0.427083333333333
104,3,0.7,0.541666667,0.375,0.372093023,0.354166667,0.428571429,1,6.8,0,"abacus",3.96,4.12,0.21,65,54,50,64,63,78,83,232,0.229166666666667
105,0,0.181818182,0.583333333,NA,0.046511628,0.083333333,NA,1,6.8,1,"abacus",2.5,1.88,0.61,54,74,71,66,87,84,76,250,0.322916666666667
105,1,0,0.5,0.21875,0.279069767,0.0625,NA,1,6.8,1,"abacus",4.04,2.83,0.15,52,69,60,57,77,86,86,236,0.21875
105,2,0,0.416666667,0.21875,0.255813953,0.208333333,0.107142857,1,6.8,1,"abacus",3.08,2.62,0.21,34,37,36,62,74,73,75,236,0.3125
105,3,0,0.25,0.28125,0.372093023,0.208333333,0.121428571,1,6.8,1,"abacus",3.54,2.21,0.15,41,46,37,62,67,82,80,232,0.229166666666667
106,0,0.272727273,0.75,0.09375,0.302325581,0.166666667,NA,0,6.8,0,"control",3.12,2.83,0.14,61,79,77,84,86,82,75,217,-0.104166666666667
106,1,0.090909091,0.583333333,0.25,0.23255814,0.125,NA,0,6.8,0,"control",2.96,3,NA,54,58,60,57,80,88,86,217,0.375
106,2,0.727272727,NA,0.40625,0.348837209,0.291666667,0.135714286,0,6.8,0,"control",5.04,3.75,0.13,63,64,64,61,69,82,89,213,0.604166666666667
106,3,1,0.375,0.4375,0.511627907,0.375,0.414285714,0,6.8,0,"control",3.88,5.96,0.08,64,60,34,68,68,82,83,182,NA
107,0,0.272727273,0.666666667,0.03125,0.162790698,0.145833333,NA,1,6.4,1,"abacus",3.38,2.21,0.42,76,85,84,76,88,84,80,236,0.208333333333333
107,1,0.181818182,0.5,0.21875,0.325581395,0.229166667,NA,1,6.4,1,"abacus",3.46,3.17,0.1,84,88,87,73,84,88,89,235,0.520833333333333
107,2,0.727272727,0.458333333,0.28125,0.418604651,0.291666667,0.235714286,1,6.4,1,"abacus",4.29,3.42,0.16,79,69,82,78,79,79,82,240,0.572916666666667
107,3,1,0.791666667,0.40625,0.465116279,0.416666667,0.471428571,1,6.4,1,"abacus",3.12,3.75,0.2,88,75,77,70,71,90,85,236,0.645833333333333
108,0,0.090909091,0.5,0.0625,0.069767442,0.229166667,NA,1,6.8,1,"abacus",2.33,2.46,0.42,91,92,94,78,91,92,80,246,0.3125
108,1,0.090909091,0.666666667,0.3125,0.348837209,0.25,NA,1,6.8,1,"abacus",3.88,3.67,0.16,90,90,98,74,78,88,86,232,0.604166666666667
108,2,0,0.416666667,0.3125,0.348837209,0.375,0.228571429,1,6.8,1,"abacus",3.62,4.88,0.13,67,77,73,62,75,79,74,226,0.364583333333333
108,3,0.3,0.583333333,0.4375,0.441860465,0.541666667,0.685714286,1,6.8,1,"abacus",4.17,5,0.16,84,76,74,64,87,88,81,225,0.479166666666667
109,0,0.636363636,0.333333333,0.15625,0.255813953,0.166666667,NA,1,6.1,0,"abacus",3.04,4.33,0.38,70,89,84,80,92,86,84,241,0.4375
109,1,0.909090909,0.5,0.375,0.372093023,0.291666667,NA,1,6.1,0,"abacus",3.33,3.33,0.12,86,79,89,63,87,84,87,217,0.520833333333333
109,2,1,0.5,0.375,0.465116279,0.354166667,0.271428571,1,6.1,0,"abacus",4.08,4.79,0.15,78,78,75,75,69,79,83,222,0.479166666666667
109,3,1,0.625,0.375,0.465116279,0.416666667,0.135714286,1,6.1,0,"abacus",4.75,4.75,0.08,78,78,55,62,67,86,79,236,0.447916666666667
11,0,0.272727273,0.25,0.125,0.186046512,0.083333333,NA,0,6.2,0,"control",2.58,3.67,0.43,71,80,76,72,91,84,79,247,0.270833333333333
11,1,0.090909091,0.333333333,0.09375,0.23255814,0.104166667,NA,0,6.2,0,"control",3.92,3.46,0.15,66,64,81,66,80,86,85,220,0.333333333333333
11,2,0.454545455,0.541666667,0.28125,0.372093023,0,0.342857143,0,6.2,0,"control",4.54,4.08,0.17,67,55,58,64,77,76,79,224,0.40625
11,3,0.5,0.625,0.3125,0.418604651,0.291666667,0.428571429,0,6.2,0,"control",3.5,3.29,0.09,67,58,59,64,77,80,83,227,0.489583333333333
110,0,0.363636364,0.666666667,0.25,0.302325581,0.291666667,NA,1,6.8,0,"abacus",3.58,4.33,0.26,89,95,94,88,89,88,80,236,0.21875
110,1,0.454545455,0.75,0.28125,0.348837209,0.375,NA,1,6.8,0,"abacus",3.21,4.17,0.15,87,92,96,83,79,82,87,238,0.5
110,2,0.636363636,0.458333333,0.46875,0.372093023,0.541666667,0.7,1,6.8,0,"abacus",3.92,3.12,0.1,71,84,72,75,72,70,84,243,0.354166666666667
110,3,0.5,0.25,0.5625,0.465116279,0.75,0.785714286,1,6.8,0,"abacus",4.25,3.92,0.08,62,82,50,78,62,86,82,234,0.520833333333333
111,0,0.272727273,0.75,0.125,0.255813953,0.104166667,NA,0,6.2,0,"control",1.21,2.79,0.48,93,95,100,94,89,86,75,247,0.3125
111,1,0.636363636,0.666666667,0.28125,0.372093023,0.208333333,NA,0,6.2,0,"control",3.04,4.25,0.19,91,92,93,93,78,86,88,234,0.458333333333333
111,2,0.909090909,0.916666667,0.3125,0.372093023,0.229166667,0.364285714,0,6.2,0,"control",4.21,3.96,0.2,80,82,89,85,78,77,87,224,0.625
111,3,1,0.791666667,0.53125,0.441860465,0.208333333,0.342857143,0,6.2,0,"control",3.17,3.46,0.17,76,79,78,76,63,88,85,231,0.520833333333333
112,0,0.181818182,0.75,0.03125,0.255813953,0.125,NA,0,6.7,0,"control",3.46,5.21,0.6,45,73,49,54,86,84,79,241,0.520833333333333
112,1,0.181818182,0.666666667,0.21875,0.325581395,0.145833333,NA,0,6.7,0,"control",3.46,1.96,0.41,52,70,55,60,76,86,87,233,0.541666666666667
112,2,0.363636364,0.541666667,0.4375,0.418604651,0.3125,0.285714286,0,6.7,0,"control",2.38,3.96,0.2,69,67,71,73,72,81,80,239,0.729166666666667
112,3,0.9,0.5,0.5625,0.488372093,0.395833333,0.442857143,0,6.7,0,"control",2.54,4.08,0.27,63,73,56,66,62,82,83,224,0.677083333333333
114,0,0.181818182,0.166666667,0.09375,0.255813953,0.145833333,NA,0,6.6,0,"control",3.21,2.62,0.41,81,88,88,80,90,86,84,233,0.5
114,1,0.818181818,0.916666667,0.28125,0.372093023,0.125,NA,0,6.6,0,"control",4.17,3.83,0.14,89,84,91,56,82,86,85,222,0.625
114,2,1,0.708333333,0.25,0.372093023,0.270833333,0.271428571,0,6.6,0,"control",6,4.29,0.13,85,74,88,68,72,80,87,230,0.802083333333333
114,3,1,0.583333333,0.59375,0.465116279,0.375,0.392857143,0,6.6,0,"control",3.83,3.29,0.25,90,91,85,72,74,90,83,220,0.84375
115,0,0.363636364,0.666666667,0.125,0.279069767,0.125,NA,0,6.5,1,"control",3.12,3.21,0.32,89,96,96,82,84,90,76,243,0.25
115,1,0.727272727,0.083333333,0.28125,0.348837209,0.1875,NA,0,6.5,1,"control",4.08,3.25,0.18,94,92,96,81,83,90,84,235,0.0833333333333333
115,2,0.454545455,0.541666667,0.34375,0.395348837,0.354166667,0.4,0,6.5,1,"control",5.17,4.25,0.2,83,80,82,78,79,81,78,241,NA
115,3,0.8,0.666666667,0.46875,0.488372093,0.4375,0.471428571,0,6.5,1,"control",3.08,3.67,0.13,79,84,58,80,65,92,81,238,0.354166666666667
116,0,0.363636364,0.416666667,0.15625,0.186046512,0.083333333,NA,1,6.9,1,"abacus",2.54,3,0.12,74,89,77,68,89,90,80,247,0.104166666666667
116,1,0,0.583333333,0.375,0.395348837,0.291666667,NA,1,6.9,1,"abacus",3.92,5,0.16,91,91,94,76,78,92,87,235,0.458333333333333
116,2,0.181818182,0.583333333,0.375,0.441860465,0.4375,0.428571429,1,6.9,1,"abacus",4.67,5.17,0.17,80,74,78,78,80,88,78,237,0.520833333333333
116,3,0.7,0.333333333,0.53125,0.581395349,0.5625,0.742857143,1,6.9,1,"abacus",3.5,4.33,0.11,72,77,53,72,83,92,81,229,0.5625
117,0,0.363636364,0.416666667,0.09375,0.162790698,0.208333333,NA,1,6.4,0,"abacus",4.25,3.46,0.5,59,85,63,64,91,90,80,240,0.510416666666667
117,1,0,0.833333333,0.25,0.372093023,0.208333333,NA,1,6.4,0,"abacus",3.38,4.88,0.18,75,83,79,35,75,80,87,220,0.666666666666667
117,2,0.363636364,0.666666667,0.4375,0.372093023,0.375,0.335714286,1,6.4,0,"abacus",3.62,4.21,0.2,64,69,70,70,70,81,84,222,0.791666666666667
117,3,1,0.708333333,0.5,0.418604651,0.395833333,0.535714286,1,6.4,0,"abacus",5.17,5,0.2,66,72,50,64,71,86,81,214,0.854166666666667
119,0,0.545454545,0.5,0.125,0.162790698,0.125,NA,0,6.8,1,"control",2.29,2.04,0.28,80,98,84,80,90,88,75,240,0.166666666666667
119,1,0,0.833333333,0.28125,0.302325581,0.145833333,NA,0,6.8,1,"control",3.29,4,0.2,78,83,87,53,81,84,87,219,0.354166666666667
119,2,0.545454545,0.666666667,0.34375,0.372093023,0.1875,0.385714286,0,6.8,1,"control",2.92,4,0.13,72,77,67,63,82,79,87,223,0.40625
119,3,0.6,0.833333333,0.53125,0.488372093,0.3125,0.435714286,0,6.8,1,"control",3.33,2.25,0.2,85,80,68,74,76,88,84,221,0.40625
12,0,0.181818182,0.666666667,0.09375,0.255813953,0.145833333,NA,0,6.5,0,"control",2.12,1.79,0.23,95,98,100,94,92,88,80,225,0.541666666666667
12,1,0.545454545,0.916666667,0.15625,0.302325581,0.1875,NA,0,6.5,0,"control",3.38,3,0.19,96,96,99,90,84,94,88,230,0.625
12,2,1,0.833333333,0.28125,0.441860465,0.291666667,0.4,0,6.5,0,"control",4.33,3.54,0.12,90,91,96,79,78,79,72,235,0.760416666666667
12,3,1,0.708333333,0.53125,0.558139535,0.5625,0.528571429,0,6.5,0,"control",4.96,5.79,0.09,93,87,90,84,77,88,81,232,0.885416666666667
122,0,0.181818182,0.333333333,0.09375,0.302325581,0.125,NA,0,6.7,0,"control",2.29,1.88,0.46,82,94,92,84,89,82,81,243,0.395833333333333
122,1,0.090909091,0.083333333,0.25,0.302325581,0.208333333,NA,0,6.7,0,"control",2.33,2.75,0.08,79,70,90,54,81,84,87,230,0.229166666666667
122,2,0.181818182,0.125,0.28125,0.348837209,0.041666667,0.378571429,0,6.7,0,"control",3.5,3.42,0.12,51,56,66,78,79,79,89,233,0.354166666666667
122,3,0.3,0.125,0.4375,0.418604651,0.395833333,0.414285714,0,6.7,0,"control",4.96,3.58,0.08,62,54,50,62,57,72,82,226,0.520833333333333
123,0,0.090909091,0.583333333,0.09375,0.302325581,0.083333333,NA,0,6.6,0,"control",3.75,3.58,0.57,68,90,77,80,90,82,86,247,0.364583333333333
123,1,0,0.666666667,0.21875,0.372093023,0.125,NA,0,6.6,0,"control",3.12,4.83,0.13,85,88,92,75,83,82,86,229,0.59375
123,2,0.363636364,0.791666667,0.34375,0.279069767,0.25,0.335714286,0,6.6,0,"control",2.96,3.5,0.11,61,65,58,76,68,80,89,223,0.541666666666667
123,3,0.7,0.666666667,0.53125,0.441860465,0.4375,0.392857143,0,6.6,0,"control",3.83,4.79,0.1,48,57,33,72,58,86,84,218,0.65625
124,0,0.090909091,0.333333333,0.15625,0.23255814,0.125,NA,0,6.9,0,"control",2.08,1.62,0.4,72,76,87,84,86,88,79,234,0.552083333333333
124,1,0.545454545,0.166666667,0.28125,0.395348837,0.166666667,NA,0,6.9,0,"control",2.88,1.96,0.26,75,88,87,66,78,88,89,227,0.59375
124,2,0,0.541666667,0.46875,0.441860465,0.291666667,0.442857143,0,6.9,0,"control",2.54,1.62,0.19,75,73,65,69,73,77,88,230,0.625
124,3,0.9,0.833333333,0.46875,0.465116279,0.395833333,0.535714286,0,6.9,0,"control",4.5,2.88,0.29,81,76,61,74,65,92,86,226,0.572916666666667
125,0,0.454545455,0.583333333,0.1875,0.302325581,0.0625,NA,0,6.5,0,"control",NA,NA,NA,72,95,81,64,85,86,85,241,0.6875
125,1,0,0.833333333,0.25,0.325581395,0.104166667,NA,0,6.5,0,"control",2.29,1.62,0.21,89,89,98,66,76,84,85,233,0.520833333333333
125,2,0.363636364,0.708333333,0.375,0.418604651,0.25,0.4,0,6.5,0,"control",3.25,1.29,0.13,73,76,83,59,73,75,85,229,0.854166666666667
125,3,0.7,0.833333333,0.53125,0.488372093,0.520833333,0.485714286,0,6.5,0,"control",3.67,5.71,0.15,81,78,78,68,63,90,80,237,0.854166666666667
127,0,0.363636364,0.666666667,NA,0.255813953,0.145833333,NA,0,6.7,0,"control",3,2.67,0.42,75,89,88,80,88,92,75,249,0.15625
127,1,0.272727273,0.5,0.15625,0.325581395,0.104166667,NA,0,6.7,0,"control",4,2.83,0.2,72,75,80,68,82,86,88,237,0.375
127,2,0.909090909,0.625,0.28125,0.348837209,0.104166667,0.185714286,0,6.7,0,"control",4.17,3.79,0.15,48,57,61,63,74,74,87,240,0.53125
127,3,1,0.708333333,0.5,0.488372093,0.291666667,0.25,0,6.7,0,"control",3.04,2.92,0.11,48,62,43,72,60,84,86,225,0.6875
128,0,0.454545455,0.75,0.125,0.23255814,0.104166667,NA,1,6.5,0,"abacus",4.42,2.75,0.23,39,78,49,58,91,86,81,245,0.479166666666667
128,1,0,0.833333333,0.25,0.348837209,0.145833333,NA,1,6.5,0,"abacus",4.5,3.46,0.11,55,76,64,67,78,84,89,229,0.510416666666667
128,2,1,0.958333333,0.34375,0.395348837,0.375,0.35,1,6.5,0,"abacus",3.25,3.38,0.09,34,62,39,66,76,72,77,232,0.6875
128,3,1,0.666666667,0.34375,0.395348837,0.395833333,0.314285714,1,6.5,0,"abacus",2.92,4.12,0.13,48,69,35,78,62,86,81,222,0.604166666666667
129,0,0.363636364,0.666666667,0.15625,0.279069767,0.208333333,NA,1,5.9,0,"abacus",3,3.58,0.29,84,88,88,84,84,84,74,242,0.21875
129,1,0.545454545,0.416666667,0.21875,0.302325581,0.145833333,NA,1,5.9,0,"abacus",4.46,3.75,0.12,91,87,95,87,74,80,87,236,0.135416666666667
129,2,0.363636364,0.208333333,0.34375,0.372093023,0.291666667,0.335714286,1,5.9,0,"abacus",3.08,3.29,0.17,80,84,86,73,75,70,84,237,0.489583333333333
129,3,1,0.458333333,0.59375,0.534883721,0.5,0.328571429,1,5.9,0,"abacus",4.04,2.42,0.17,73,74,74,76,68,90,80,232,0.65625
13,0,0.454545455,0.75,0.21875,0.348837209,0.1875,NA,1,6.2,0,"abacus",3.17,3.12,0.11,98,99,100,92,88,86,80,245,0.416666666666667
13,1,1,0.75,0.5,0.441860465,0.416666667,NA,1,6.2,0,"abacus",4.67,4.04,0.13,98,100,100,89,80,82,87,237,0.5625
13,2,1,0.583333333,0.53125,0.511627907,0.520833333,0.542857143,1,6.2,0,"abacus",4.67,4.21,0.19,95,91,99,74,78,79,76,237,0.708333333333333
13,3,1,0.708333333,0.6875,0.604651163,0.791666667,0.921428571,1,6.2,0,"abacus",5.42,4.33,0.08,94,98,96,88,85,90,84,224,0.708333333333333
130,0,0.181818182,0.666666667,0.1875,0.302325581,0.0625,NA,1,6.2,1,"abacus",1.92,3.04,0.35,64,87,82,62,85,88,75,242,0.208333333333333
130,1,0,0.75,0.3125,0.395348837,0.333333333,NA,1,6.2,1,"abacus",3.12,4.71,0.13,91,94,90,69,79,92,87,236,0.572916666666667
130,2,0.909090909,0.625,0.4375,0.488372093,0.416666667,0.3,1,6.2,1,"abacus",4.96,4.62,0.1,66,81,72,76,76,84,80,239,0.729166666666667
130,3,1,0.791666667,0.46875,0.558139535,0.458333333,0.285714286,1,6.2,1,"abacus",4.38,5.46,0.12,77,86,70,68,87,86,81,232,0.645833333333333
131,0,0.454545455,0.5,0.0625,0.162790698,0.0625,NA,0,6.5,1,"control",1.12,1.79,0.64,61,89,83,62,91,84,75,245,0.104166666666667
131,1,0.090909091,0.583333333,0.21875,0.279069767,0.229166667,NA,0,6.5,1,"control",2.42,1.25,0.12,62,78,85,56,80,82,89,233,0.166666666666667
131,2,0.272727273,0.416666667,0.375,0.465116279,0.270833333,0.45,0,6.5,1,"control",3.62,4.08,0.08,33,45,38,68,77,78,85,235,0.385416666666667
131,3,0.1,0.375,0.3125,0.395348837,0.291666667,0.471428571,0,6.5,1,"control",4.12,4.5,0.13,53,60,31,74,73,90,82,229,0.458333333333333
133,0,0.454545455,0.666666667,0.1875,0.255813953,0.145833333,NA,1,7.7,0,"abacus",1.46,1.17,0.24,76,88,82,76,88,84,81,246,0.239583333333333
133,1,0.090909091,0.75,0.25,0.348837209,0.125,NA,1,7.7,0,"abacus",2.75,2.33,0.14,85,85,85,68,79,90,85,230,0.260416666666667
133,2,0.363636364,0.583333333,0.34375,0.325581395,0.208333333,0.271428571,1,7.7,0,"abacus",4,2.12,0.11,75,61,59,74,72,86,83,231,0.416666666666667
133,3,0.3,0.541666667,0.34375,0.418604651,0.229166667,0.442857143,1,7.7,0,"abacus",3.12,3.46,0.15,70,61,49,68,80,86,85,219,0.427083333333333
134,0,0.272727273,0.583333333,0.15625,0.255813953,0.166666667,NA,1,7.1,0,"abacus",2.67,1.96,0.47,93,91,99,82,91,90,79,240,0.416666666666667
134,1,1,0.583333333,0.34375,0.325581395,0.1875,NA,1,7.1,0,"abacus",3.33,4.12,0.12,94,93,99,90,84,90,86,237,0.34375
134,2,1,0.875,0.46875,0.465116279,0.3125,0.342857143,1,7.1,0,"abacus",3.67,3.5,0.11,88,81,86,79,80,83,84,235,0.364583333333333
134,3,1,0.666666667,0.5625,0.511627907,0.458333333,0.5,1,7.1,0,"abacus",3.04,5.08,0.1,80,84,68,62,73,92,85,224,0.552083333333333
135,0,0.363636364,0.583333333,0.125,0.302325581,0.166666667,NA,0,7,0,"control",1.67,1.96,0.49,75,92,91,80,88,82,75,245,0.3125
135,1,0.454545455,0.5,0.25,0.325581395,0.229166667,NA,0,7,0,"control",2.96,1.92,0.21,81,89,97,66,74,86,85,232,0.166666666666667
135,2,0.545454545,0.375,0.4375,0.395348837,0.25,0.178571429,0,7,0,"control",2.46,2.12,0.19,71,84,74,74,60,76,75,237,0.59375
135,3,0.7,0.625,0.5625,0.511627907,0.4375,0.364285714,0,7,0,"control",2.46,5.17,0.13,73,80,59,76,70,88,82,237,0.875
136,0,0.181818182,0.583333333,0.09375,0.209302326,0.104166667,NA,1,6.7,0,"abacus",1.5,1.67,0.71,81,92,88,80,88,88,81,244,0.104166666666667
136,1,0.363636364,0.5,0.21875,0.279069767,0.1875,NA,1,6.7,0,"abacus",3.12,3.67,0.26,91,83,92,79,79,88,86,235,0.291666666666667
136,2,0,0.333333333,0.1875,0.348837209,0.145833333,0.214285714,1,6.7,0,"abacus",3.38,1.79,0.33,75,61,84,57,76,84,78,243,0.21875
136,3,0.6,0.458333333,0.40625,0.441860465,0.25,0.314285714,1,6.7,0,"abacus",5.33,2.96,0.2,75,61,52,68,70,82,83,232,0.208333333333333
137,0,0.272727273,0.583333333,0.15625,0.209302326,0.083333333,NA,1,7,1,"abacus",2.88,2,0.23,71,83,83,38,83,84,80,241,0.28125
137,1,0.090909091,0.083333333,0.1875,0.325581395,0.104166667,NA,1,7,1,"abacus",3.08,3,0.12,82,80,88,63,78,90,86,239,0.46875
137,2,0,0.416666667,0.25,0.325581395,0.166666667,0.114285714,1,7,1,"abacus",3.08,3.67,0.1,49,71,66,74,72,84,85,238,0.229166666666667
137,3,0,0.375,0.46875,0.395348837,0.270833333,0.064285714,1,7,1,"abacus",3.88,3.38,0.17,49,53,49,68,66,82,85,235,0.479166666666667
138,0,0.454545455,0.25,0.15625,0.162790698,0.125,NA,1,7.5,0,"abacus",2.58,1.75,0.4,68,81,76,76,90,90,79,236,0.739583333333333
138,1,0,0.416666667,0.1875,0.302325581,0.083333333,NA,1,7.5,0,"abacus",4.46,2.67,0.19,82,84,89,65,80,84,88,226,0.572916666666667
138,2,0.272727273,0.5,0.1875,0.325581395,0.166666667,0.257142857,1,7.5,0,"abacus",3.88,2.79,0.11,42,49,50,69,72,75,81,226,0.458333333333333
